Latitude	Longitude
44.42555	-111.81676
44.42331	-111.79947
44.41940	-111.78433
44.41726	-111.77614
44.41492	-111.76923
44.40925	-111.76185
44.40361	-111.75575
44.39886	-111.74848
44.39203	-111.74053
44.38809	-111.73402
44.38463	-111.72781
44.38225	-111.72426
44.38019	-111.72437
44.37667	-111.72534
44.37171	-111.72815
44.36587	-111.73259
44.36094	-111.73714
44.35767	-111.73906
44.35580	-111.74187
44.35426	-111.74466
44.35366	-111.74804
44.35206	-111.75274
44.34997	-111.75620
44.34752	-111.75903
44.34261	-111.75960
44.33454	-111.76192
44.32913	-111.76490
44.32228	-111.76556
44.31710	-111.76438
44.31099	-111.76245
44.30644	-111.75870
44.30226	-111.75620
44.29550	-111.75127
44.29057	-111.74610
44.28556	-111.74253
44.27977	-111.73486
44.27467	-111.72778
44.26968	-111.72007
44.26393	-111.71415
44.25888	-111.70883
44.25278	-111.70293
44.24602	-111.69802
44.24109	-111.69301
44.23507	-111.69013
44.22923	-111.68534
44.22403	-111.67876
44.21991	-111.66973
44.21518	-111.65899
44.21092	-111.64887
44.20387	-111.63682
44.19807	-111.62486
44.19120	-111.61583
44.18325	-111.60925
44.17468	-111.60540
44.16879	-111.60300
44.16190	-111.60241
44.15413	-111.59820
44.14638	-111.59495
44.13902	-111.59359
44.13334	-111.59102
44.12678	-111.58501
44.12102	-111.57911
44.11439	-111.57072
44.10990	-111.56507
44.10301	-111.55559
44.09752	-111.55143
44.08991	-111.54468
44.08069	-111.53786
44.07322	-111.53238
44.06618	-111.53022
44.06100	-111.52922
44.05403	-111.52959
44.04148	-111.53137
44.03508	-111.53187
44.02941	-111.53392
44.02386	-111.53612
44.01729	-111.53885
44.01232	-111.54134
44.00600	-111.54500
44.00022	-111.54705
43.99369	-111.55152
43.98751	-111.55598
43.98215	-111.56102
43.97784	-111.56711
43.97200	-111.57567
43.96741	-111.58431
43.96197	-111.59110
43.95653	-111.59773
43.94678	-111.60569
43.93679	-111.61365
43.92812	-111.61934
43.91932	-111.62439
43.91027	-111.62897
43.90201	-111.63257
43.89478	-111.64118
43.88590	-111.65225
43.87475	-111.66849
43.86729	-111.67695
43.86001	-111.68365
43.85360	-111.68809
43.84900	-111.69197
43.84225	-111.70133
43.83703	-111.71267
43.83339	-111.72223
43.83197	-111.73033
43.82841	-111.74364
43.82604	-111.75437
43.82411	-111.76443
43.82157	-111.77326
